question,worker,answer
79,9,1
342,15,1
287,167,0
625,127,1
140,14,0
530,166,1
154,45,1
8,164,1
338,93,1
734,8,1
228,68,0
526,0,0
610,8,1
794,141,1
237,9,1
736,9,1
176,47,1
785,1,0
745,162,0
65,23,1
372,164,0
537,132,0
430,111,0
483,9,0
138,7,1
734,5,1
427,106,0
185,48,1
419,7,0
44,19,0
2,2,1
260,10,0
416,54,1
377,100,1
196,8,0
301,166,1
684,5,1
702,46,1
117,36,1
184,166,1
549,21,0
329,167,1
792,1,1
324,5,1
614,143,0
4,1,0
320,85,1
178,168,0
599,9,1
468,117,1
353,8,1
69,7,1
165,9,1
395,8,0
586,108,0
748,9,1
239,1,1
221,8,1
149,15,1
618,142,1
178,5,0
374,9,1
439,110,0
574,167,1
790,167,0
166,43,1
12,9,1
375,100,1
43,8,1
81,9,0
146,166,1
628,8,1
678,156,0
68,7,1
213,9,1
639,127,1
119,37,0
629,144,0
427,166,1
383,167,0
720,32,1
274,3,0
595,166,1
63,26,1
280,164,0
552,55,0
37,167,0
730,44,1
73,26,0
88,9,1
160,15,0
788,166,0
787,140,0
187,164,1
795,55,1
690,46,1
463,114,1
177,46,0
285,83,1
385,101,1
739,6,0
200,164,0
92,5,0
583,164,0
292,30,0
52,8,1
251,9,0
189,7,1
251,8,1
402,103,1
106,31,1
736,7,1
590,168,0
22,168,0
326,67,0
134,8,1
113,6,1
656,149,0
432,3,0
529,9,1
530,167,1
302,80,1
699,9,1
233,9,1
133,14,1
724,55,1
348,97,1
383,164,0
594,164,0
769,7,1
288,5,1
227,5,1
59,168,0
21,3,0
176,46,1
786,8,1
87,29,0
202,7,1
475,9,1
573,64,0
35,15,0
759,41,0
370,6,1
46,164,1
329,164,1
572,7,0
391,168,1
570,53,0
624,144,0
124,9,1
120,1,0
49,20,0
695,9,1
290,164,1
510,128,0
41,9,1
424,8,1
139,14,0
278,8,1
753,163,1
163,43,1
563,9,0
761,124,1
645,151,0
283,3,1
249,5,0
187,52,0
615,55,0
527,8,1
613,142,0
776,46,0
783,82,0
148,168,1
408,20,1
550,21,1
178,49,0
75,7,1
121,5,1
591,5,0
148,7,0
700,124,0
64,165,1
598,166,0
135,40,1
652,167,1
641,8,1
169,168,1
554,46,1
525,165,0
773,82,1
557,9,1
163,45,1
432,110,0
619,143,0
456,114,0
226,70,0
147,43,1
787,13,0
101,164,0
216,70,0
748,163,1
71,25,0
373,165,1
609,9,1
771,9,1
373,99,0
222,168,0
192,52,1
527,0,1
52,18,1
31,15,0
183,5,1
723,55,1
91,7,1
70,7,1
304,87,1
46,17,1
783,158,0
180,8,1
209,64,1
126,166,1
563,137,0
67,8,1
591,100,1
285,166,0
4,3,0
755,163,1
643,147,1
275,3,0
662,149,0
746,41,0
33,10,1
668,167,1
426,109,0
577,8,0
102,33,1
155,23,0
782,82,1
287,32,0
590,9,1
357,9,1
617,121,1
384,102,0
548,5,0
591,106,1
568,61,0
21,164,1
466,119,0
363,166,0
380,5,1
90,28,1
775,9,1
204,10,1
428,165,1
162,44,0
734,165,1
783,168,0
13,4,0
231,15,1
29,11,1
667,9,0
484,7,1
393,36,0
315,5,1
97,15,0
208,64,0
648,7,1
582,107,0
29,12,0
328,90,1
428,110,0
751,9,1
673,156,0
786,99,1
80,166,0
255,165,0
687,168,1
199,166,0
698,124,1
624,7,1
586,106,0
310,85,1
538,133,1
249,72,1
0,4,1
470,118,0
778,5,1
38,15,0
586,100,0
423,9,1
241,8,0
199,53,0
376,166,1
165,164,1
591,1,1
351,96,0
150,164,0
128,166,0
428,109,0
326,8,0
217,67,1
678,123,0
665,7,1
367,8,0
509,5,0
558,9,1
422,167,1
140,9,1
691,120,1
102,1,1
604,165,1
341,93,1
798,55,0
487,1,0
544,136,1
384,36,0
239,3,1
394,9,1
186,9,0
145,8,1
616,142,1
436,7,1
621,121,1
204,53,1
522,11,1
665,156,0
6,5,0
736,161,0
450,113,1
586,7,0
788,165,0
512,8,1
747,8,1
126,164,1
419,57,1
39,13,1
6,7,1
130,42,1
729,8,1
625,146,1
471,117,0
217,3,1
689,120,0
552,137,1
682,8,1
126,35,0
41,165,1
292,7,1
721,88,0
411,57,1
775,82,0
216,5,0
54,20,1
25,13,0
46,168,1
545,164,1
590,164,0
491,9,1
41,8,1
672,8,0
194,53,0
519,40,0
35,16,0
440,41,0
28,9,1
430,167,1
106,5,0
165,45,1
658,149,1
420,7,0
426,106,0
589,108,1
102,9,1
536,99,0
529,7,1
585,9,1
772,46,0
517,168,1
661,150,0
244,73,1
369,7,1
307,5,0
734,9,1
90,15,0
135,20,1
285,81,0
304,166,0
306,87,1
373,100,0
199,167,0
277,80,1
89,29,1
109,167,1
460,114,0
595,168,1
357,11,0
614,9,1
118,38,1
616,1,1
317,8,0
53,3,0
625,148,1
425,9,1
46,9,1
756,9,1
55,164,0
286,8,0
685,7,1
181,1,0
300,80,1
618,9,0
373,5,1
585,7,1
248,164,1
44,17,1
187,51,1
771,165,0
32,9,1
742,3,1
795,141,0
238,9,1
456,1,0
642,146,0
694,121,0
514,128,1
634,5,1
548,55,0
730,161,1
235,9,0
737,8,1
564,64,0
332,165,0
799,9,0
540,3,1
24,167,1
782,46,1
779,168,0
78,23,0
357,32,0
738,6,1
255,9,1
546,164,0
249,9,1
163,7,1
579,164,0
35,14,0
79,27,1
799,1,1
790,123,0
285,3,1
203,15,1
490,5,0
89,10,1
644,9,1
311,15,0
731,7,1
335,92,0
422,164,1
248,15,1
501,100,0
315,7,1
279,7,1
554,135,1
781,157,0
679,156,1
203,164,0
601,165,1
631,167,0
542,3,1
68,23,0
615,121,1
524,164,1
627,9,1
576,60,0
160,8,0
615,166,1
265,164,0
96,168,1
239,71,1
465,167,0
195,15,1
711,88,1
21,11,0
595,8,1
588,108,0
135,5,1
39,9,1
18,168,0
21,10,0
420,54,0
385,8,1
661,151,1
104,32,1
2,4,0
510,7,0
518,128,1
538,7,1
566,3,1
724,164,1
428,164,1
593,5,0
765,15,0
8,1,0
485,120,1
425,110,0
87,167,1
74,25,1
309,9,0
7,3,1
409,55,0
